B,Ni,Nx,Ny,Nn,Kx,Ky,Actual GPU Time (ms),Model Predicted Time (ms)
1,16,32,32,16,3,3,2.532,0.0002783355704697986
1,16,64,64,16,3,3,2.545,0.0011888021476510067
1,16,128,128,16,3,3,2.533,0.004909839463087248
1,16,224,224,16,3,3,2.563,0.015241655838926175
1,32,32,32,32,3,3,2.582,0.0011133422818791945
1,32,64,64,32,3,3,2.592,0.004755208590604027
1,32,128,128,32,3,3,2.585,0.019639357852348993
1,32,224,224,32,3,3,2.742,0.0609666233557047
1,64,32,32,64,3,3,4.857,0.004453369127516778
1,64,64,64,64,3,3,4.706,0.019020834362416108
1,64,128,128,64,3,3,5.614,0.07855743140939597
1,64,224,224,64,3,3,5.817,0.2438664934228188
8,16,32,32,16,3,3,2.538,0.002226684563758389
8,16,64,64,16,3,3,2.548,0.009510417181208054
8,16,128,128,16,3,3,2.671,0.039278715704697986
8,16,224,224,16,3,3,2.925,0.1219332467114094
8,32,32,32,32,3,3,2.584,0.008906738255033556
8,32,64,64,32,3,3,2.675,0.038041668724832216
8,32,128,128,32,3,3,3.03,0.15711486281879194
8,32,224,224,32,3,3,4.325,0.4877329868456376
8,64,32,32,64,3,3,4.581,0.035626953020134224
8,64,64,64,64,3,3,5.647,0.15216667489932886
8,64,128,128,64,3,3,5.781,0.6284594512751678
8,64,224,224,64,3,3,25.833,1.9509319473825504
16,16,32,32,16,3,3,2.556,0.004453369127516778
16,16,64,64,16,3,3,2.61,0.019020834362416108
16,16,128,128,16,3,3,2.784,0.07855743140939597
16,16,224,224,16,3,3,3.33,0.2438664934228188
16,32,32,32,32,3,3,2.596,0.017813476510067112
16,32,64,64,32,3,3,5.285,0.07608333744966443
16,32,128,128,32,3,3,3.522,0.3142297256375839
16,32,224,224,32,3,3,9.386,0.9754659736912752
16,64,32,32,64,3,3,5.655,0.07125390604026845
16,64,64,64,64,3,3,5.84,0.3043333497986577
16,64,128,128,64,3,3,14.932,1.2569189025503356
16,64,224,224,64,3,3,45.485,3.9018638947651008
